player,position,team,age,club,birth_year
Kim Jin-su,DF,Korea Republic,30,Jeonbuk,1992
Kim Min-jae,DF,Korea Republic,26,Napoli,1996
Kim Moonhwan,DF,Korea Republic,27,Jeonbuk,1995
Kim Seung-gyu,GK,Korea Republic,32,Al-Shabab,1990
Kim Young-gwon,DF,Korea Republic,32,Ulsan Hyundai,1990
Kingsley Coman,FW,France,26,Bayern Munich,1996
Ko Itakura,DF,Japan,25,M'Gladbach,1997
Koke,MF,Spain,30,AtlÃ©tico Madrid,1992
Kristijan Jakić,FW,Croatia,25,Eint Frankfurt,1997
Krystian Bielik,MF,Poland,24,Derby County,1998
Krzysztof Piątek,FW,Poland,27,Salernitana,1995
Krépin Diatta,FW,Senegal,23,Monaco,1999
Kudus Mohammed,FW,Ghana,22,Ajax,2000
Kwon Chang-hoon,FW,Korea Republic,28,Sangju Sangmu,1994
Kwon Kyung-won,DF,Korea Republic,30,Gamba Osaka,1992
Kye Rowles,DF,Australia,24,Hearts,1998
Kyle Walker,DF,England,32,Manchester City,1990
Kylian Mbappé,FW,France,23,Paris S-G,1998
Lautaro Martínez,FW,Argentina,25,Inter,1997
Lawrence Ati-Zigi,GK,Ghana,26,St. Gallen,1996
Leander Dendoncker,DF,Belgium,27,Aston Villa,1995
Leandro Paredes,MF,Argentina,28,Juventus,1994
Leandro Trossard,FW,Belgium,28,Brighton,1994
Lee Jae-sung,MF,Korea Republic,30,Mainz 05,1992
Lee Kangin,MF,Korea Republic,21,Mallorca,2001
Leon Goretzka,MF,Germany,27,Bayern Munich,1995
Leroy Sané,FW,Germany,26,Bayern Munich,1996
Liam Millar,DF,Canada,23,Basel,1999
Lionel Messi,FW,Argentina,35,Paris S-G,1987
Lisandro Martínez,DF,Argentina,24,Manchester Utd,1998
Lovro Majer,MF,Croatia,24,Rennes,1998
Loïs Openda,FW,Belgium,22,Lens,2000
Lucas Cavallini,FW,Canada,29,Vancouver,1992
Lucas Hernández,DF,France,26,Bayern Munich,1996
Lucas Paquetá,MF,Brazil,25,West Ham,1997
