player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,goals_per_shot_on_target
Asiri Haitham,FW,Saudi Arabia,21,2001,0.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Assim Madibo,MF,Qatar,26,1996,1.7,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Atiba Hutchinson,MF,Canada,39,1983,1.8,0,2,0,0.0,1.13,0.0,0.0,16.8,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,
Aurélien Tchouaméni,MF,France,22,2000,6.9,1,6,2,33.3,0.87,0.29,0.17,23.7,0.0,0,0,0.3,0.3,0.06,0.7,0.7,0.5
Awer Mabil,MF,Australia,27,1995,0.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Axel Disasi,DF,France,24,1998,1.0,0,1,0,0.0,0.98,0.0,0.0,9.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Axel Witsel,MF,Belgium,33,1989,3.0,0,1,0,0.0,0.33,0.0,0.0,32.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,
Ayase Ueda,FW,Japan,24,1998,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Aymeric Laporte,DF,Spain,28,1994,3.3,0,1,0,0.0,0.3,0.0,0.0,13.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0,
Aziz Behich,DF,Australia,32,1990,4.0,0,2,0,0.0,0.5,0.0,0.0,16.4,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,
Azzedine Ounahi,MF,Morocco,22,2000,6.3,0,6,1,16.7,0.95,0.16,0.0,23.7,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,0.0
Aïssa Laïdouni,MF,Tunisia,26,1996,2.7,0,2,0,0.0,0.74,0.0,0.0,9.8,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Baba Rahman,DF,Ghana,28,1994,2.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Badr Banoun,DF,Morocco,29,1993,0.6,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Bailey Wright,DF,Australia,30,1992,0.2,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Bamba Dieng,FW,Senegal,22,2000,1.1,1,4,1,25.0,3.6,0.9,0.25,16.3,1.0,0,0,0.5,0.5,0.12,0.5,0.5,1.0
Bartosz Bereszyński,DF,Poland,30,1992,3.8,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
